name,address,price
"House For Sale In Patan, Lalitpur",Lalitpur,15000000
"Flat For Rent In Hattiban, Lalitpur",Lalitpur,15000
"Land For Sale In Lubhu, Lalitpur",Lalitpur,1650000
"Flat For Rent In Bhaisepati, Lalitpur",Lalitpur,16000
"Sanepa House Sale : House For Sale In Sanepa, Lalitpur",Lalitpur,30000000
"Ploted Land On Sale At Harisiddi Near Cancer Hospital : Land For Sale In Harisiddhi, Lalitpur",Lalitpur,2500000
"Beautiful House On Rent At Sanepa : House For Rent In Sanepa, Lalitpur",Lalitpur,200000
"Beautiful Square Land On Sale At Sanepa : Land For Sale In Sanepa, Lalitpur",Lalitpur,6000000
"House For Sale In Lamatar, Lalitpur",Lalitpur,10000000
"House For Sale In Lamatar, Lalitpur",Lalitpur,25000000
"House For Sale In Imadol, Lalitpur",Lalitpur,21000000
"Land For Sale In Ekantakuna, Lalitpur",Lalitpur,5500000
"Land On Sale On Lagankhel, Lalitpur : Land For Sale In Lagankhel, Lalitpur",Lalitpur,5000000
"House For Sale In Harisiddhi, Lalitpur",Lalitpur,12500000
"Land For Sale In Sanepa, Lalitpur",Lalitpur,1000000
"House For Sale In Harisiddhi, Lalitpur",Lalitpur,11500000
"भैंसेपाटीमा नयाँ घर बिक्रिमा !! 285 Lakh ( Negotiable ) : House For Sale In Bhaisepati, Lalitpur",Lalitpur,28500000
"2.5 Floored House On Sale : House For Sale In Thasikhel, Lalitpur",Lalitpur,46500000
"Plotting Land : Land For Sale In Nakhipot, Lalitpur",Lalitpur,2200000
"Business For Sale In Satdobato, Lalitpur",Lalitpur,9000000
"House For Sale In Sanepa, Lalitpur",Lalitpur,150000000
"Nepal Medicity Hospital Agadi 1kilo Mitar Vitra : House For Sale In Nakkhu, Lalitpur",Lalitpur,18000000
"Nepal Medicity Hospital Agadi 200 Mitar Vitra : House For Sale In Nakkhu, Lalitpur",Lalitpur,33000000
"Land For Sale In Dhobighat, Lalitpur",Lalitpur,3200000
"HOUSE FOR RENT : House For Rent In Godawari, Lalitpur",Lalitpur,175000
"Land : Land For Sale In Lamatar, Lalitpur",Lalitpur,1250000
"Land Sale At Lalitpur Kusunti.Ringroad : Land For Sale In Kusunti, Lalitpur",Lalitpur,6000000
"Tikathaliko Ghar Bikrima : House For Sale In Tikathali, Lalitpur",Lalitpur,22500000
"3 Aana Land At Dhapakhel, Lalitpur : Land For Sale In Dhapakhel, Lalitpur",Lalitpur,2350000
"भैंसेपाटी नक्खुमा Modern Bungalow बिक्रिमा !! 190 Lakh (Negotiable ) : House For Sale In Bhaisepati, Lalitpur",Lalitpur,19000000
"Land For Sale In Dhapakhel, Lalitpur",Lalitpur,1500000
"Land For Sale In Bhaisepati, Lalitpur",Lalitpur,2600000
"House For Sale In Sanepa, Lalitpur",Lalitpur,150000000
"Apartment For Rent In Jhamsikhel, Lalitpur",Lalitpur,180000
"Dhapakhel House On Rent : House For Rent In Dhapakhel, Lalitpur",Lalitpur,125000
"House For Rent In Kupondole, Lalitpur",Lalitpur,170000
"Land For Sale In Kupondole, Lalitpur",Lalitpur,70000000
"House For Sale In Tikathali, Lalitpur",Lalitpur,16000000
"2 Rooms At Kumaripati : Office Space For Rent In Kumaripati, Lalitpur",Lalitpur,22000
"Land For Sale : Land For Sale In Godawari, Lalitpur",Lalitpur,1250000
"House For Rent In Patandokha, Lalitpur",Lalitpur,90000
"Land For Sale In Godawari, Lalitpur",Lalitpur,1200000
"House For Rent In Nakkhu, Lalitpur",Lalitpur,40000
"House For Rent In Bakhundol, Lalitpur",Lalitpur,125000
"House For Rent In Kupondole, Lalitpur",Lalitpur,100000
"House For Rent In Sanepa, Lalitpur",Lalitpur,150000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,100000
"House For Sale In Khumaltar, Lalitpur",Lalitpur,19500000
"House For Sale In Bhaisepati, Lalitpur",Lalitpur,97500000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,125000
"Land For Sale In Sanepa, Lalitpur",Lalitpur,4500000
"House For Rent In Imadol, Lalitpur",Lalitpur,185000
"Land For Sale In Hattiban, Lalitpur",Lalitpur,2800000
"House For Rent In Jhamsikhel, Lalitpur",Lalitpur,300000
"House For Rent In Jhamsikhel, Lalitpur",Lalitpur,200000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,120000
"House For Sale At Civil Homes Phase 3 Sunakothi : House For Sale In Civil Homes, Lalitpur",Lalitpur,29500000
"Land For Sale In Naghdaha, Lalitpur",Lalitpur,1600000
"House For Rent In Bhaisepati, Lalitpur",Lalitpur,100000
"Business For Sale In Mangal Bazar, Lalitpur",Lalitpur,1700000
"Land For Sale In Imadol, Lalitpur",Lalitpur,2500000
"Jharuwarasi Santaneshwor : Land For Sale In Godawari, Lalitpur",Lalitpur,1000000
"Business For Sale In Lagankhel, Lalitpur",Lalitpur,1300000
"Flat For Rent In Satdobato, Lalitpur",Lalitpur,22000
"Business For Sale In Gwarko, Lalitpur",Lalitpur,600000
"Business For Sale In Kupondole, Lalitpur",Lalitpur,700000
"DT : Office Space For Rent In Jawalakhel, Lalitpur",Lalitpur,1.55E+11
"Bungmati : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,9000000
"Badhikhel Lalitpurma 6 Roppani 8 Aana Jagga Bikrima Total Price 4 Crore : Land For Sale In Godawari, Lalitpur",Lalitpur,40000000
"PD1-101, A Apartments : Flat For Rent In Patandokha, Lalitpur",Lalitpur,40000
"BaSu Home : Office Space For Rent In Jhamsikhel, Lalitpur",Lalitpur,75
"Business For Sale In Pulchowk, Lalitpur",Lalitpur,3200000
"Land : Land For Sale In Bhaisepati, Lalitpur",Lalitpur,3600000
"House For Sale In Nakkhu, Lalitpur",Lalitpur,25500000
"House For Sale In Thasikhel, Lalitpur",Lalitpur,24000000
"House For Sale In Imadol, Lalitpur",Lalitpur,16500000
"Land For Sale In Lubhu, Lalitpur",Lalitpur,1250000
"6 Aana 4 Kune Plating Jagga : Land For Sale In Lalitpur, Lalitpur",Lalitpur,7.8E+13
"Flat For Rent In Hattiban, Lalitpur",Lalitpur,30000
"House For Sale In Bhaisepati, Lalitpur",Lalitpur,44500000
"Flat For Rent In Sanepa, Lalitpur",Lalitpur,19900
"Darkroom : Business For Sale In Kupondole, Lalitpur",Lalitpur,2200000
"House For Sale In Imadol, Lalitpur",Lalitpur,14200000
"Italian/Coffee Shop/Fire Wooden Pizza/Barista Academy : Business For Sale In Kumaripati, Lalitpur",Lalitpur,2500000
"Land For Sale In Thecho, Lalitpur",Lalitpur,1400000
"House For Sale In Nakhipot, Lalitpur",Lalitpur,20500000
"Land For Sale In Lele, Lalitpur",Lalitpur,600000
"DeepLila Sadan : House For Sale In Dhapakhel, Lalitpur",Lalitpur,42000000
"Office Space For Rent In Kupondole, Lalitpur",Lalitpur,50000
"Land For Sale In Thaiba, Lalitpur",Lalitpur,1850000
"Land For Sale In Mahalaxmi Nagarpalika, Lalitpur",Lalitpur,2250000
"Land For Sale In Mahalaxmisthan, Lalitpur",Lalitpur,2600000
"Land For Sale In Lele, Lalitpur",Lalitpur,250000
"Land For Sale In Bhaisepati, Lalitpur",Lalitpur,2600000
"Land For Sale In Godawari, Lalitpur",Lalitpur,600000
"House For Sale In Jhamsikhel, Lalitpur",Lalitpur,35000000
"Modern House For Sale At Bhaisepati! : House For Sale In Bhaisepati, Lalitpur",Lalitpur,70000000
"House For Sale In Imadol, Lalitpur",Lalitpur,22500000
"House For Sale In Khumaltar, Lalitpur",Lalitpur,60000000
"House For Sale In Nakhipot, Lalitpur",Lalitpur,15100000
"Business For Sale In Imadol, Lalitpur",Lalitpur,1700000
"Business For Sale In Taukhel, Lalitpur",Lalitpur,600000
"Business For Sale In Kumaripati, Lalitpur",Lalitpur,1500000
"Business For Sale In Ekantakuna, Lalitpur",Lalitpur,600000
"Land For Sale In Godawari, Lalitpur",Lalitpur,1700000
"Land For Sale In Lubhu, Lalitpur",Lalitpur,5860000
"Flat For Rent In Dhobighat, Lalitpur",Lalitpur,40000
"BRIHAT HOUSING : House For Sale In Bhaisepati, Lalitpur",Lalitpur,39077000
"House For Sale In Khumaltar, Lalitpur",Lalitpur,37500000
